기준_년분기_코드,행정동_코드,행정동_코드_명,서비스_업종_코드,서비스_업종_코드_명
20251,11500605,가양3동,CS100003,일식음식점
20251,11500605,가양3동,CS100004,양식음식점
20251,11680660,개포1동,CS100003,일식음식점
20251,11680660,개포1동,CS100004,양식음식점
20251,11680660,개포1동,CS100005,제과점
20251,11680660,개포1동,CS100006,패스트푸드점
20251,11680660,개포1동,CS100007,치킨전문점
20251,11680660,개포1동,CS100009,호프-간이주점
20251,11620715,난향동,CS100004,양식음식점
20251,11290580,돈암1동,CS100004,양식음식점
20251,11290590,돈암2동,CS100003,일식음식점
20251,11740690,둔촌1동,CS100002,중식음식점
20251,11740690,둔촌1동,CS100004,양식음식점
20251,11260660,망우3동,CS100003,일식음식점
20251,11260540,면목4동,CS100003,일식음식점
20251,11650550,반포본동,CS100002,중식음식점
20251,11320710,방학3동,CS100003,일식음식점
20251,11305603,번2동,CS100006,패스트푸드점
20251,11620745,삼성동,CS100003,일식음식점
20251,11350665,상계3?4동,CS100003,일식음식점
20251,11380650,수색동,CS100003,일식음식점
20251,11545680,시흥2동,CS100003,일식음식점
20251,11545690,시흥3동,CS100006,패스트푸드점
20251,11545700,시흥4동,CS100004,양식음식점
20251,11545710,시흥5동,CS100004,양식음식점
20251,11560670,신길5동,CS100003,일식음식점
20251,11560670,신길5동,CS100004,양식음식점
20251,11380632,신사2동,CS100003,일식음식점
20251,11470560,신월1동,CS100004,양식음식점
20251,11470580,신월3동,CS100003,일식음식점
20251,11470600,신월5동,CS100004,양식음식점
20251,11470670,신정6동,CS100009,호프-간이주점
20251,11320681,쌍문4동,CS100005,제과점
20251,11740590,암사3동,CS100002,중식음식점
20251,11710566,오륜동,CS100009,호프-간이주점
20251,11170590,용문동,CS100002,중식음식점
20251,11200580,응봉동,CS100003,일식음식점
20251,11680720,일원본동,CS100003,일식음식점
20251,11710670,잠실2동,CS100002,중식음식점
20251,11710690,잠실4동,CS100009,호프-간이주점
20251,11710720,잠실7동,CS100004,양식음식점
20251,11710720,잠실7동,CS100006,패스트푸드점
20251,11710720,잠실7동,CS100009,호프-간이주점
20251,11290780,장위3동,CS100004,양식음식점
20251,11260600,중화1동,CS100004,양식음식점
20251,11110690,창신3동,CS100003,일식음식점
20251,11110690,창신3동,CS100006,패스트푸드점
20251,11350612,하계2동,CS100002,중식음식점
20251,11350612,하계2동,CS100004,양식음식점
20251,11500550,화곡2동,CS100004,양식음식점
20251,11170580,효창동,CS100002,중식음식점
20251,11170580,효창동,CS100003,일식음식점
